num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
11713	26316.693455	37.800120	4.473355	-1.390871	10.914648
11715	26318.783418	37.621667	4.511065	-1.409578	12.061535
11717	26320.869505	41.927545	-1.813910	-1.391444	10.617958
11719	26322.937917	39.943067	4.696888	-1.385116	11.464771
11721	26325.008044	39.365565	4.108302	-1.402561	11.764847
11723	26327.097274	38.651693	4.233586	-1.406722	11.929241
11725	26329.190634	42.945746	9.912886	-1.441548	13.742747
11727	26331.279341	43.244503	5.704610	-1.408787	10.437834
11729	26333.353634	43.307092	4.862717	-1.399573	9.813198
11731	26335.423110	43.409703	4.388204	-1.394401	11.788753
11733	26337.499532	43.420239	4.288934	-1.398082	12.238294
11735	26339.580205	44.170085	4.533468	-1.402533	11.592457
11737	26341.660561	44.073254	4.163928	-1.399420	11.666693
11739	26343.742456	44.047194	4.073636	-1.399822	11.450151
11741	26345.823347	44.380001	4.126781	-1.402893	12.471856
11743	26347.905120	44.170224	4.183458	-1.402729	13.393288
11745	26349.989794	40.863933	4.445835	-1.417489	13.246954
11747	26352.074207	44.968389	4.104438	-1.399083	13.416562
11749	26354.167652	41.031901	4.219808	-1.412783	13.894634
11751	26356.256843	42.381197	4.572816	-1.384709	12.824133
11753	26358.335962	41.378198	3.844761	-1.413274	12.828955
11755	26360.408658	42.493163	4.185327	-1.411478	12.834734
11757	26362.481132	46.330107	4.686193	-1.411397	13.741301
11759	26364.558778	41.881008	4.025141	-1.416005	12.489251
11761	26366.652573	44.361190	-2.814590	-1.399272	13.007247
11763	26368.742442	45.817801	4.135968	-1.389907	15.357500
11765	26370.827603	43.450691	4.343065	-1.390117	15.149618
11767	26372.905089	42.855717	4.005099	-1.401977	13.962424
11769	26374.978688	43.011612	4.089173	-1.417125	15.871181
11771	26377.052644	47.636352	4.393575	-1.410856	15.381737
11773	26379.129711	43.499541	3.920176	-1.391688	15.100033
11775	26381.216045	43.534632	3.799431	-1.407515	15.112122
11777	26383.294525	43.517278	3.879915	-1.402719	15.377000
11779	26385.380545	43.783294	3.970743	-1.408277	14.718809
11781	26387.460775	43.737208	4.020005	-1.423359	15.189880
11783	26389.540723	44.047325	3.973084	-1.405006	14.599954
11785	26391.622630	44.228700	3.904481	-1.405050	15.169543
11787	26393.705094	44.707474	3.964675	-1.393015	15.429156
11789	26395.785310	43.745462	2.075956	-1.420186	15.802344
11791	26397.867734	45.049706	3.915288	-1.394513	15.350163
11793	26399.954341	44.281249	3.691449	-1.424400	16.020104
11795	26402.041983	44.871898	3.864349	-1.417651	14.764799
11797	26404.129273	49.521742	5.149183	-1.409535	14.571549
11799	26406.214417	49.331229	3.688702	-1.404404	15.948512
11801	26408.299153	45.709012	4.043663	-1.427752	16.979832
11803	26410.372143	46.061358	3.838518	-1.413404	16.061122
11805	26412.444276	45.454698	-2.552626	-1.396806	17.218574
11807	26414.523553	46.248760	3.909191	-1.398639	17.248361
11809	26416.604356	44.436870	4.574345	-1.384925	16.427501
11811	26418.692847	50.444758	3.800309	-1.407007	16.915347
11813	26420.782152	46.349967	3.906493	-1.423387	16.218010
11815	26422.866960	50.724377	3.590366	-1.405509	16.961160
11817	26424.949383	46.946655	3.633539	-1.418649	16.332918
11819	26427.030000	45.529189	-2.419877	-1.407348	17.714974
11821	26429.106642	51.740291	3.650035	-1.401324	17.956172
11823	26431.184853	47.549822	3.682490	-1.411375	18.228739
11825	26433.263713	51.543539	-3.660723	-1.419437	18.361739
11827	26435.343805	48.717585	3.645351	-1.391889	17.234643
11829	26437.425083	47.468700	3.561647	-1.400537	18.248822
11831	26439.510846	48.004131	3.500991	-1.403027	18.768942
11833	26441.593480	48.243146	3.576508	-1.423991	18.574851
11835	26443.682523	48.261817	3.496056	-1.424566	19.680317
11837	26445.764675	53.195546	3.840229	-1.401875	18.382158
11839	26447.848648	49.504672	3.691297	-1.400853	19.015390
11841	26449.927211	49.195564	3.388987	-1.424338	19.417253
11843	26452.004797	53.072343	3.599490	-1.391466	19.605950
