num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
9715	24239.261066	25.806262	5.413012	1.796964	8.494094
9717	24241.376981	26.372943	5.072488	1.849631	5.710676
9719	24243.439882	26.769396	4.843071	1.826247	4.193213
9721	24245.512854	27.534872	5.305180	1.832372	7.488894
9723	24247.588215	26.775151	5.665284	1.834444	2.244912
9725	24249.674347	24.604979	13.199096	1.660098	5.201732
9727	24251.774454	28.975608	4.834787	1.783965	5.021285
9729	24253.857042	27.903434	4.638184	1.807511	5.790830
9731	24255.911977	28.262386	4.678176	1.824312	6.122652
9733	24258.001937	29.518278	4.519045	1.801946	6.380478
9735	24260.088974	29.828965	4.973948	1.782322	5.044944
9737	24262.155908	27.191168	3.946311	1.836364	5.426911
9739	24264.256898	28.785569	5.463294	1.805636	5.695215
9741	24266.320920	27.118648	3.980431	1.830392	5.306031
9743	24268.413570	30.744637	5.561469	1.802647	6.360797
9745	24270.503217	28.016976	3.446364	1.768116	5.990104
9747	24272.564358	27.531606	8.977058	1.808300	6.292862
9749	24274.670934	31.156291	4.993878	1.766096	7.088351
9751	24276.729161	30.781883	4.624988	1.813078	5.851229
9753	24278.834215	28.890014	4.228272	1.797405	5.518924
9755	24280.893721	29.242752	7.345798	1.738805	6.064458
9757	24282.999840	29.323926	4.917938	1.804327	7.178794
9759	24285.056702	32.035292	4.586881	1.805396	6.075575
9761	24287.152748	31.995098	4.137691	1.800994	8.200474
9763	24289.249394	32.292090	4.283595	1.784165	7.856936
9765	24291.316735	32.315535	4.290606	1.794857	6.882016
9767	24293.385325	32.225700	4.255571	1.802880	8.063455
9769	24295.465672	30.977705	4.308889	1.808499	8.466077
9771	24297.554182	30.887736	4.066694	1.813795	9.294584
9773	24299.631449	30.960271	4.033513	1.809941	7.551941
9775	24301.714783	32.010001	3.695347	1.781900	7.491704
9777	24303.804477	31.355099	10.605805	1.737001	10.781694
9779	24305.906829	31.252810	4.206858	1.832831	7.573361
9781	24307.990483	32.415802	3.783456	1.836581	6.933515
9783	24310.044500	31.986968	4.270406	1.798724	9.506492
9785	24312.144433	30.927903	3.925231	1.820620	8.201172
9787	24314.227373	35.418573	3.924186	1.806029	9.855271
9789	24316.294804	34.893207	4.069596	1.786312	6.587031
9791	24318.399387	35.240365	4.052167	1.802299	11.809491
9793	24320.458444	35.435170	3.769378	1.789653	7.049418
9795	24322.563838	32.749134	4.544630	1.790063	10.116542
9797	24324.632740	36.709869	11.544385	1.723554	7.297934
9799	24326.713117	32.589399	3.859332	1.796562	9.673052
9801	24328.809788	34.068925	9.460376	1.741133	8.206009
9803	24330.866579	34.188700	3.076131	1.800163	9.558584
9805	24332.961452	33.555030	9.773053	1.758961	8.729079
9807	24335.057678	34.293199	4.000769	1.796253	11.096623
9809	24337.124908	34.258058	12.178886	1.710769	8.453902
9811	24339.197967	34.490416	3.285679	1.791408	9.591859
9813	24341.283484	34.438790	3.561674	1.799243	7.772800
9815	24343.370254	35.250281	9.478509	1.748187	9.319301
9817	24345.457828	34.944929	3.301133	1.808343	10.509199
9819	24347.537710	37.859062	3.453453	1.792950	10.172487
9821	24349.613938	35.623698	3.408947	1.808601	9.549994
9823	24351.691900	35.964849	7.172540	1.756564	9.873118
9825	24353.771280	35.475995	3.116195	1.819341	9.569963
9827	24355.867311	39.235234	3.930893	1.791181	10.569306
9829	24357.956888	39.352984	3.533122	1.781588	10.369144
9831	24360.026571	36.697631	3.268654	1.813041	10.991264
9833	24362.097465	39.387530	3.294070	1.808187	9.992222
9835	24364.202788	36.116896	3.532108	1.806742	8.939307
9837	24366.276389	37.716743	3.421783	1.804459	11.870912
9839	24368.342018	37.153159	4.177736	1.861132	10.859579
9841	24370.443921	37.779548	11.940828	1.739146	11.382111
9843	24372.525337	37.462752	3.249557	1.795203	11.289652
9845	24374.587411	37.779515	9.294452	1.733810	10.427221
9847	24376.682914	41.194041	3.107277	1.801955	10.353604
9849	24378.776173	41.455510	3.179875	1.787275	12.004238
9851	24380.846329	41.501504	3.444309	1.794820	12.675328
9853	24382.918285	41.230330	3.277618	1.804226	10.194042
9855	24385.002143	38.667275	3.466041	1.814470	11.680854
9857	24387.090308	41.721556	10.462002	1.749567	11.659221
