crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	4.356550	9717	0.000000
281474976710655.000000	5.664986	9718	24243609600.000000
281474976710655.000000	6.159713	9719	24244633600.000000
281474976710655.000000	5.642709	9720	24245682176.000000
281474976710655.000000	4.151720	9721	24246736896.000000
281474976710655.000000	5.679934	9722	24247758848.000000
281474976710655.000000	4.648314	9723	24248817664.000000
281474976710655.000000	5.647501	9724	24249845760.000000
281474976710655.000000	5.727915	9725	24250884096.000000
281474976710655.000000	5.902551	9726	24251947008.000000
281474976710655.000000	5.731455	9727	24252948480.000000
281474976710655.000000	6.156870	9728	24254029824.000000
281474976710655.000000	5.267035	9729	24255043584.000000
281474976710655.000000	5.828941	9730	24256081920.000000
281474976710655.000000	5.261800	9731	24257159168.000000
281474976710655.000000	6.190815	9732	24258174976.000000
281474976710655.000000	5.700250	9733	24259201024.000000
281474976710655.000000	6.491244	9734	24260261888.000000
281474976710655.000000	5.561134	9735	24261314560.000000
281474976710655.000000	6.167634	9736	24262326272.000000
281474976710655.000000	5.819756	9737	24263376896.000000
281474976710655.000000	6.571782	9738	24264429568.000000
281474976710655.000000	5.963449	9739	24265478144.000000
281474976710655.000000	6.056011	9740	24266491904.000000
281474976710655.000000	6.696166	9741	24267532288.000000
281474976710655.000000	6.908292	9742	24268584960.000000
281474976710655.000000	5.745830	9743	24269641728.000000
281474976710655.000000	6.357249	9744	24270675968.000000
281474976710655.000000	6.246297	9745	24271693824.000000
281474976710655.000000	6.655468	9746	24272734208.000000
281474976710655.000000	6.589126	9747	24273801216.000000
281474976710655.000000	6.634097	9748	24274845696.000000
281474976710655.000000	6.180826	9749	24275875840.000000
281474976710655.000000	6.783268	9750	24276899840.000000
281474976710655.000000	6.565714	9751	24277956608.000000
281474976710655.000000	6.839810	9752	24279009280.000000
281474976710655.000000	6.343124	9753	24280043520.000000
281474976710655.000000	7.154822	9754	24281063424.000000
281474976710655.000000	7.189217	9755	24282120192.000000
281474976710655.000000	6.983622	9756	24283174912.000000
281474976710655.000000	6.538985	9757	24284198912.000000
281474976710655.000000	7.476341	9758	24285227008.000000
281474976710655.000000	7.642691	9759	24286298112.000000
281474976710655.000000	7.016083	9760	24287324160.000000
281474976710655.000000	7.373063	9761	24288348160.000000
281474976710655.000000	7.934495	9762	24289421312.000000
281474976710655.000000	6.796886	9763	24290441216.000000
281474976710655.000000	7.657029	9764	24291485696.000000
281474976710655.000000	7.455575	9765	24292540416.000000
