time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
21797.998815	78.723114	0.035937	2.190588	138
21799.039727	72.117355	0.035936	2.006810	139
21800.108615	60.278999	0.035939	1.677249	140
21801.154661	67.275414	0.035933	1.872255	141
21802.157018	72.423157	0.035934	2.015472	142
21803.277864	38.690727	0.035933	1.076761	143
21804.263636	75.413918	0.035939	2.098391	144
21805.290552	78.723389	0.035934	2.190774	145
21806.364530	58.416332	0.035933	1.625714	146
21807.415377	67.722572	0.035936	1.884527	147
21808.438442	74.994011	0.035937	2.086819	148
21809.509592	64.963783	0.035933	1.807901	149
21810.521674	71.975571	0.035940	2.002647	150
21811.607021	66.912590	0.035935	1.862069	151
21812.594788	81.896133	0.035939	2.278747	152
21813.616130	85.997108	0.035934	2.393183	153
21814.699612	72.177078	0.035935	2.008545	154
21815.776545	66.816200	0.035939	1.859133	155
21816.810085	72.126968	0.035936	2.007091	156
21817.861464	66.696785	0.035937	1.855926	157
21818.878794	78.181976	0.035936	2.175609	158
21819.938289	64.428711	0.035935	1.792929	159
21820.947720	80.093834	0.035934	2.228935	160
21822.025538	67.859230	0.035941	1.888099	161
21823.051200	79.526955	0.035939	2.212859	162
21824.106128	69.993706	0.035940	1.947530	163
21825.121748	80.475594	0.035938	2.239297	164
21826.202709	65.123337	0.035937	1.812136	165
21827.195353	87.531448	0.035936	2.435784	166
21828.282572	67.745186	0.035937	1.885103	167
21829.302786	79.152428	0.035935	2.202637	168
21830.339949	84.882065	0.035935	2.362098	169
21831.369379	87.988167	0.035938	2.448315	170
21832.461500	68.869865	0.035937	1.916397	171
21833.504960	68.458733	0.035939	1.904855	172
21834.547052	67.430992	0.035935	1.876448	173
21835.508264	95.493660	0.035935	2.657405	174
21836.638013	70.207771	0.035936	1.953682	175
21837.639479	84.564285	0.035938	2.353074	176
21838.711574	69.703156	0.035940	1.939423	177
21839.727901	81.190796	0.035934	2.259433	178
21840.866666	50.372864	0.035934	1.401807	179
21841.829624	77.983742	0.035938	2.169945	180
21842.960766	42.238827	0.035934	1.175466	181
21843.925365	71.472466	0.035937	1.988845	182
21845.119514	57.062767	0.035940	1.587707	183
21845.986141	77.879509	0.035932	2.167405	184
21847.066325	73.675423	0.035933	2.050363	185
21848.070520	84.427467	0.035939	2.349190	186
21849.178459	63.127361	0.035934	1.756743	187
21850.156304	79.615356	0.035936	2.215474	188
21851.249795	68.274643	0.035933	1.900035	189
21852.242712	81.595688	0.035938	2.270450	190
21853.309300	74.604118	0.035937	2.075978	191
21854.325668	83.593147	0.035935	2.326253	192
21855.408485	70.384789	0.035933	1.958769	193
21856.420915	77.859512	0.035938	2.166489	194
21857.477237	79.925224	0.035933	2.224270	195
21858.531781	70.371513	0.035935	1.958327	196
21859.572077	72.651466	0.035935	2.021729	197
21860.592205	77.158440	0.035934	2.147243	198
21861.510422	98.965889	0.035935	2.754023	199
21862.674422	80.884521	0.035935	2.250837	200
21863.745052	74.179184	0.035933	2.064369	201
21864.776458	73.718712	0.035936	2.051365	202
21865.813177	78.710548	0.035938	2.190149	203
21866.845003	79.254234	0.035934	2.205549	204
21867.904337	75.914764	0.035938	2.112405	205
21868.962529	68.469528	0.035936	1.905315	206
21870.007876	70.661255	0.035937	1.966232	207
21871.020459	79.903275	0.035936	2.223475	208
21872.087626	69.534027	0.035934	1.935025	209
21873.116900	70.560715	0.035939	1.963354	210
21874.156438	79.439171	0.035935	2.210628	211
21875.186994	78.870140	0.035933	2.194904	212
21876.249013	74.409050	0.035935	2.070646	213
21877.291305	69.431854	0.035935	1.932134	214
21878.335778	73.907997	0.035937	2.056618	215
21879.356252	76.796867	0.035938	2.136955	216
21880.417464	76.032539	0.035937	2.115690	217
21881.410748	98.016525	0.035940	2.727241	218
21882.503606	73.898468	0.035940	2.056178	219
21883.521907	78.411789	0.035934	2.182102	220
21884.610342	56.292770	0.035934	1.566541	221
21885.610020	79.646576	0.035936	2.216336	222
21886.708927	59.220787	0.035939	1.647826	223
21887.719853	64.788246	0.035937	1.802818	224
21888.707824	108.034744	0.035937	3.006217	225
21889.797459	69.246384	0.035934	1.927060	226
21890.909781	45.544746	0.035938	1.267331	227
21891.940121	39.366451	0.035933	1.095543	228
21892.925143	75.394981	0.035938	2.097911	229
21893.949681	77.857048	0.035938	2.166403	230
21895.014838	72.255005	0.035936	2.010633	231
21896.036820	76.716347	0.035935	2.134849	232
21897.096839	74.670296	0.035938	2.077771	233
21898.109338	85.159676	0.035936	2.369754	234
21899.200680	65.131485	0.035937	1.812402	235
21900.195141	82.637123	0.035938	2.299448	236
21901.272158	70.763428	0.035936	1.969155	237
21902.311209	65.153130	0.035934	1.813137	238
21903.356852	70.514885	0.035938	1.962119	239
21904.401511	60.366478	0.035937	1.679764	240
21905.437003	71.837540	0.035936	1.999047	241
21906.466324	70.791763	0.035935	1.969977	242
21907.536847	66.325150	0.035935	1.845708	243
21908.544923	73.810326	0.035939	2.053784	244
21909.606408	72.285942	0.035935	2.011601	245
21910.625520	75.938454	0.035933	2.113307	246
21911.707035	62.433689	0.035933	1.737514	247
21912.733710	62.656502	0.035933	1.743700	248
21913.778545	70.476181	0.035939	1.960982	249
21914.792306	76.284111	0.035932	2.123035	250
21915.861873	71.179825	0.035936	1.980733	251
21916.888174	69.553596	0.035933	1.935654	252
21917.929409	81.494965	0.035934	2.267915	253
21918.959957	78.711906	0.035937	2.190301	254
21920.027891	71.106941	0.035937	1.978650	255
21921.070479	63.435139	0.035935	1.765299	0
21922.112150	70.927696	0.035933	1.973871	1
21923.172999	54.952671	0.035939	1.529048	2
21924.172876	87.013229	0.035940	2.421070	3
21925.137293	133.685486	0.035935	3.720173	4
21926.262585	83.656616	0.035936	2.327953	5
21927.314597	66.921692	0.035936	1.862259	6
21928.335343	92.042252	0.035935	2.561388	7
21930.442686	73.839012	0.035935	2.054808	9
